source,target,weight
bmc evolutionary biology,cretaceous research,1451
evolution,science,1449
cell cycle,journal of biological chemistry,1449
paleobiology,science,1445
american museum novitates,journal of vertebrate paleontology,1444
cytogenet cell genet,journal of biological chemistry,1440
doctor who classic comics,doctor who magazine,1440
phys rev lett,physical review letters,1439
bmc evolutionary biology,pnas,1434
baltic journal of coleopterology,cretaceous research,1434
journal of systematic palaeontology,pnas,1432
nature communications,paleontological journal,1432
bulletin of geosciences,cretaceous research,1431
palaeontology,zoological journal of the linnean society,1430
journal of human evolution,peerj,1429
bmc evolutionary biology,nature,1425
genome res,mol cell biol,1420
genes dev,mol cell biol,1416
russian entomological journal,zootaxa,1416
journal of systematic palaeontology,nature,1415
geobios,journal of vertebrate paleontology,1412
circulation research,journal of biological chemistry,1412
peerj,the anatomical record,1411
the russian review,the slavonic and east european review,1411
lpsn,wwwdsmzde,1411
genomics,science,1408
russian history,russian review,1406
plos one,quaternary science reviews,1406
all about soap,inside soap,1405
cretaceous research,journal of south american earth sciences,1401
journal of personality and social psychology,personality and social psychology bulletin,1400
