,journal1,journal2,weight
3182,american psychologist,intelligence,457
3183,insect systematics  evolution,paleontological journal,457
3184,arteriosclerosis thrombosis and vascular biology,journal of biological chemistry,457
3185,acta palaeontologica sinica,journal of paleontology,457
3186,neuroscience letters,pnas,457
3187,new england journal of medicine,plos one,457
3188,bmj,n engl j med,456
3189,international journal of environmental research and public health,tobacco control,456
3190,geological magazine,palaeontologia electronica,456
3191,acta geologica sinica english edition,historical biology an international journal of paleobiology,456
3192,archives of general psychiatry,biological psychiatry,456
3193,eur spine j,spine,456
3194,astrophysical journal letters,the astrophysical journal,456
3195,bollettino dei musei di zoologia ed anatomia comparata della reale universitxe0 di torino,bollettino dei musei di zoologia ed anatomia comparata della reale universitxe0 di torino,456
3196,current biology,nature ecology  evolution,456
3197,cell,nat cell biol,455
3198,faseb j,pnas,455
3199,analytical chemistry,mass spectrometry reviews,455
3200,molecular cell,nature cell biology,455
3201,popular mechanics,popular mechanics,455
3202,journal of mammalian evolution,palaeontology,455
3203,journal of cell science,the embo journal,455
3204,neurology,plos one,455
3205,plos one,trends in ecology  evolution,455
3206,general relativity and gravitation,physical review d,455
3207,ecology,oecologia,454
3208,acta palaeontologica polonica,annales de palxe9ontologie,454
3209,slavic review,the journal of economic history,454
3210,journal of biological chemistry,pharmacological reviews,454
3211,plos neglected tropical diseases,plos neglected tropical diseases,454
3212,science,trends in ecology and evolution,454
3213,american journal of botany,paleontological journal,454
3214,american journal of respiratory and critical care medicine,lancet,454
3215,ameghiniana,journal of mammalian evolution,454
3216,j bacteriol,journal of biological chemistry,454
3217,z phys,z phys,453
3218,genetics,genome research,453
3219,journal of agricultural and food chemistry,journal of agricultural and food chemistry,453
3220,journal of high energy physics,physics letters b,453
3221,geodiversitas,journal of human evolution,453
3222,the racing calendar,the racing calendar,453
3223,psychological bulletin,psychological review,453
3224,endocrinology,nature,453
3225,journal of virology,vaccine,453
3226,memoirs of the association of australasian palaeontologists,zootaxa,452
3227,j cell biol,oncogene,452
3228,journal of south american earth sciences,nature communications,452
3229,annals of the rheumatic diseases,the cochrane database of systematic reviews,452
3230,monthly notices of the royal astronomical society letters,the astronomical journal,452
3231,ieee transactions on antennas and propagation,ieee transactions on antennas and propagation,452
3232,the american journal of human genetics,the american journal of human genetics,452
3233,cell,lancet,451
3234,cretaceous research,journal of anatomy,451
3235,plant and soil,soil science society of america journal,451
3236,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,royal society open science,451
3237,evolution,proceedings of the royal society b biological sciences,451
3238,molecular biology and evolution,scientific reports,451
3239,cell stem cell,nature biotechnology,451
3240,astronomy  astrophysics,the astrophysical journal supplement series,451
3241,nature,palaeobiodiversity and palaeoenvironments,451
3242,fungal diversity,mycologia,451
3243,european journal of human genetics,human biology,451
3244,molecular cell,nature genetics,450
3245,analytical chemistry,journal of mass spectrometry,450
3246,bmc biology,pnas,450
3247,molecular biology of the cell,science,450
3248,journal of human evolution,paleobiology,449
3249,schizophrenia bulletin,schizophrenia research,449
3250,nature,palaios,449
3251,personality and individual differences,psychological bulletin,449
3252,american journal of human genetics,bmc evolutionary biology,449
3253,chem rev,j am chem soc,449
3254,geology,review of palaeobotany and palynology,449
3255,optics letters,physical review letters,448
3256,earthscience reviews,nature,448
3257,journal of virology,the journal of infectious diseases,448
3258,febs letters,febs letters,448
3259,philosophical transactions of the royal society a mathematical physical and engineering sciences,science,448
3260,peerj,vertebrate anatomy morphology palaeontology,448
3261,cell cycle,oncogene,448
3262,biochemical and biophysical research communications,journal of molecular biology,448
3263,cancer research,molecular cell,448
3264,the journal of comparative neurology,the journal of neuroscience,448
3265,nature communications,quaternary science reviews,448
3266,environmental health perspectives,pnas,448
3267,gigascience,plos biology,448
3268,journal of biological chemistry,mol cell proteomics,448
3269,american journal of botany,new phytologist,448
3270,biology letters,journal of human evolution,447
3271,pnas,trends in neurosciences,447
3272,acta palaeontologica polonica,bmc evolutionary biology,447
3273,journal of interdisciplinary history,slavic review,447
3274,j leukoc biol,journal of biological chemistry,447
3275,astroparticle physics,physical review letters,447
3276,the cochrane database of systematic reviews,the journal of allergy and clinical immunology,447
3277,journal of the american academy of dermatology,the british journal of dermatology,447
3278,cretaceous research,european journal of taxonomy,447
3279,royal society open science,science advances,446
3280,biochim biophys acta,science,446
3281,tectonophysics,tectonophysics,446
3282,the anatomical record,the anatomical record,446
3283,plos one,the auk,446
3284,astronomy and astrophysics,vizier online data catalog bgcvs  originally published in 2009ycat102025s,446
3285,historical biology,nature,446
3286,journal of immunology,plos one,445
3287,proceedings of the entomological society of washington,zootaxa,445
3288,biochemistry,mol cell biol,445
3289,astronomical journal,astrophysical journal,445
3290,annalen der physik,annalen der physik,445
3291,j clin invest,nature,445
3292,nature,stem cells,445
3293,arch ophthalmol,indian j ophthalmol,445
3294,j clin endocrinol metab,pnas,445
3295,plos one,rivista italiana di paleontologia e stratigrafia,445
3296,pnas,the journal of clinical endocrinology and metabolism,444
3297,conservation biology,pnas,444
3298,alcheringa an australasian journal of palaeontology,current biology,444
3299,maturitas,maturitas,444
3300,journal of biological chemistry,nat med,444
3301,copeia,copeia,444
3302,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,science,444
3303,cephalalgia,headache,444
3304,journal of south american earth sciences,nature,444
3305,geological magazine,science,444
3306,international journal of cancer,journal of clinical oncology,443
3307,journal of cetacean research and management,reports of the international whaling commission,443
3308,canadian journal of earth sciences,paleontological journal,443
3309,bulletin of the american museum of natural history,zootaxa,443
3310,fossil record,historical biology an international journal of paleobiology,443
3311,geodiversitas,pnas,442
3312,mycologia,the lichenologist,442
3313,biochemical society transactions,biochemical society transactions,442
3314,lethaia,paleontological journal,442
3315,american journal of human genetics,plos genetics,442
3316,nature structural  molecular biology,nucleic acids research,442
3317,acta geologica sinica english edition,journal of systematic palaeontology,442
3318,annu rev biochem,journal of biological chemistry,441
3319,american journal of human genetics,forensic science international,441
3320,fossil record,plos one,441
3321,chemical reviews,pnas,441
3322,pain,spine,441
3323,journal of morphology,science,441
3324,j neurosci,j neurosci,441
3325,nature structural biology,pnas,441
3326,molecular cell,nature structural  molecular biology,441
3327,physical review d,science,440
3328,geophysical research letters,journal of climate,440
3329,plos one,proceedings of the geologists association,440
3330,biochimie,nature,440
3331,ichthyological exploration of freshwaters,zootaxa,440
3332,nature,philosophical transactions of the royal society a mathematical physical and engineering sciences,440
3333,mnras,the astrophysical journal,440
3334,cell,virology,440
3335,pnas,the quarterly review of biology,440
3336,journal of the acoustical society of america,marine mammal science,440
