,journal1,journal2,weight
507,nature ecology  evolution,scientific reports,1885
508,palaeoentomology,palaeoentomology,1882
509,j geophys res,science,1878
510,journal of the american chemical society,the journal of organic chemistry,1876
511,cretaceous research,royal society open science,1875
512,molecular cell,science,1870
513,nature,palaeontology,1870
514,cell,nature genetics,1866
515,variety,variety,1862
516,palaeogeography palaeoclimatology palaeoecology,palaeogeography palaeoclimatology palaeoecology,1861
517,nature reviews genetics,pnas,1860
518,kirkus reviews,kirkus reviews,1854
519,nature communications,nature communications,1853
520,nature,the biochemical journal,1844
521,nucleic acids research,plos one,1841
522,monthly weather review,monthly weather review,1840
523,genes  development,science,1839
524,comptes rendus palevol,journal of vertebrate paleontology,1839
525,journal of virology,nature,1837
526,annales zoologici,cretaceous research,1836
527,alcheringa an australasian journal of palaeontology,journal of paleontology,1822
528,biology letters,plos one,1819
529,journal of paleontology,palaeontologia electronica,1816
530,hansard house of commons debates,hansard house of commons debates,1813
531,development,nature,1812
532,science advances,scientific reports,1809
533,cretaceous research,nature,1805
534,historical biology an international journal of paleobiology,proceedings of the royal society b biological sciences,1803
535,science,scientific american,1800
536,journal of biological chemistry,mol biol cell,1797
537,cell,the journal of cell biology,1796
538,nature reviews genetics,science,1795
539,curr biol,journal of biological chemistry,1795
540,the journal of chemical physics,the journal of chemical physics,1795
541,bmc evolutionary biology,plos one,1790
542,american journal of botany,review of palaeobotany and palynology,1782
543,astronomy  astrophysics,astronomy  astrophysics,1781
544,plos genetics,science,1777
545,animal behaviour,animal behaviour,1773
546,genes  development,molecular and cellular biology,1773
547,journal of immunology,pnas,1771
548,cretaceous research,the anatomical record,1770
549,br med j,br med j,1768
550,journal of paleontology,science,1768
551,american journal of human genetics,european journal of human genetics,1768
552,current biology,journal of vertebrate paleontology,1763
553,molecular and cellular biology,science,1761
554,gene,genomics,1758
555,journal of personality and social psychology,psychological bulletin,1758
556,lancet,pnas,1750
557,international journal of systematic and evolutionary microbiology,the namesforlife abstracts,1747
558,cancer res,pnas,1745
559,cell,embo j,1744
560,biochemistry,science,1744
561,bmj,jama,1742
562,ameghiniana,journal of vertebrate paleontology,1733
563,american journal of human genetics,american journal of human genetics,1728
564,geology,palaeogeography palaeoclimatology palaeoecology,1727
565,palaeogeography palaeoclimatology palaeoecology,palaeontology,1723
566,dna res,pnas,1722
567,acta palaeontologica polonica,zoological journal of the linnean society,1722
568,nature,the journal of cell biology,1721
569,palaeogeography palaeoclimatology palaeoecology,proceedings of the royal society b biological sciences,1720
570,journal of virology,science,1717
571,american journal of psychiatry,the american journal of psychiatry,1715
572,russian history,the journal of modern history,1712
573,journal of paleontology,papers in palaeontology,1710
574,pediatrics,the cochrane database of systematic reviews,1707
575,nature ecology  evolution,pnas,1706
576,journal of the american chemical society,pnas,1705
577,bmc genomics,nature,1702
578,cretaceous research,russian entomological journal,1696
579,acta palaeontologica polonica,pnas,1695
580,plos one,vertebrata palasiatica,1694
581,the hollywood reporter,variety,1693
582,journal of biological chemistry,mol endocrinol,1690
583,biology letters,journal of vertebrate paleontology,1685
584,journal of biological chemistry,the journal of neuroscience,1685
585,the journal of cell biology,the journal of cell biology,1684
586,chemical reviews,journal of the american chemical society,1682
587,circulation,lancet,1682
588,geology,journal of paleontology,1682
589,physical review letters,physics letters b,1680
590,journal of vertebrate paleontology,papers in palaeontology,1678
591,palaeontologia electronica,paleontological journal,1677
592,comptes rendus hebdomadaires des sxe9ances de lacadxe9mie des sciences,comptes rendus hebdomadaires des sxe9ances de lacadxe9mie des sciences,1672
593,molecular and cellular biology,molecular cell,1669
594,evolution,pnas,1668
595,astrophysical journal,monthly notices of the royal astronomical society,1667
596,journal of human evolution,science advances,1663
597,journal of molecular biology,nucleic acids research,1659
598,journal of systematic palaeontology,palaeontologia electronica,1658
599,development,pnas,1656
600,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,plos one,1654
601,pnas,quaternary science reviews,1643
602,biochemical and biophysical research communications,cell,1642
603,cell,development,1641
604,the namesforlife abstracts,wwwuniprotorg,1641
605,astronomy and astrophysics,nature,1641
606,palaeontology,pnas,1639
607,jesus college record,jesus college record,1637
608,lpsn,the namesforlife abstracts,1636
609,nature communications,proceedings of the royal society b biological sciences,1631
610,mycologia,mycotaxon,1631
611,cell,neuron,1630
612,american journal of physical anthropology,science,1630
613,plos one,science advances,1630
614,j mol biol,pnas,1628
615,reports of the international whaling commission,reports of the international whaling commission,1628
616,journal of molecular biology,science,1627
617,elife,nature,1626
618,journal of vertebrate paleontology,the anatomical record,1617
619,peerj,science,1617
620,biochimica et biophysica acta,nature,1616
621,plos one,the cochrane database of systematic reviews,1615
622,nucleic acids res,science,1614
623,j neurosci,journal of biological chemistry,1610
624,dna res,genome res,1609
625,astrophysical journal,nature,1609
626,cretaceous research,proceedings of the geologists association,1604
627,genome research,nucleic acids research,1602
628,nature,nature ecology  evolution,1599
629,earth and environmental science transactions of the royal society of edinburgh,zootaxa,1599
630,febs letters,nature,1595
631,geophysical research letters,icarus,1595
632,european journal of human genetics,plos one,1594
633,alcheringa an australasian journal of palaeontology,journal of systematic palaeontology,1591
634,gigascience,nature communications,1591
635,journal of biological chemistry,structure,1590
636,genes dev,pnas,1590
637,j bacteriol,pnas,1589
638,journal of mammalian evolution,plos one,1586
639,science,the journal of neuroscience,1581
640,arachnida u2013 rivista aracnologica italiana,cretaceous research,1579
641,american journal of human genetics,science,1578
642,cell,genome research,1577
643,scientific reports,the anatomical record,1575
644,human molecular genetics,pnas,1575
645,palaeogeography palaeoclimatology palaeoecology,quaternary science reviews,1570
646,evolution,nature,1568
647,annals of internal medicine,lancet,1559
648,molecular microbiology,pnas,1558
649,publications of the astronomical society of the pacific,the astrophysical journal,1558
650,journal of systematic palaeontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1557
651,monthly notices of the royal astronomical society,science,1555
652,jama,the new england journal of medicine,1553
653,archives of biochemistry and biophysics,journal of biological chemistry,1553
654,cancer research,nature,1553
655,europeasia studies,the slavonic and east european review,1551
656,the american journal of psychiatry,the american journal of psychiatry,1550
657,historical biology an international journal of paleobiology,journal of mammalian evolution,1548
658,neuron,the journal of neuroscience,1547
659,mol cell,pnas,1541
660,journal of paleontology,zoological journal of the linnean society,1540
661,genome biology,science,1527
662,historical biology an international journal of paleobiology,nature communications,1526
663,analytical chemistry,lab on a chip,1525
664,ear and hearing,the journal of the acoustical society of america,1523
665,bioessays,nature,1519
666,journal of systematic palaeontology,zoological journal of the linnean society,1519
667,geology,scientific reports,1517
668,cell,current biology,1515
669,nature,the new england journal of medicine,1515
670,immunity,journal of biological chemistry,1513
671,nature,physical review b,1510
672,nature methods,science,1509
673,palaeogeography palaeoclimatology palaeoecology,paleontological journal,1508
674,journal of the american chemical society,tetrahedron letters,1507
675,acta palaeontologica polonica,palaeogeography palaeoclimatology palaeoecology,1505
676,acta palaeontologica polonica,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1504
677,geochimica et cosmochimica acta,nature,1504
678,journal of biological chemistry,the journal of experimental medicine,1503
679,neurology,the cochrane database of systematic reviews,1502
680,journal of human evolution,nature ecology  evolution,1496
681,nature ecology  evolution,plos one,1496
682,quaternary science reviews,science,1495
683,j virol,journal of biological chemistry,1494
684,molecular and cellular biology,nucleic acids research,1493
685,plastic and reconstructive surgery,plastic and reconstructive surgery,1492
686,historical biology an international journal of paleobiology,royal society open science,1489
687,journal of human evolution,palaeogeography palaeoclimatology palaeoecology,1487
688,the royal gazette,the royal gazette,1485
689,endocrinology,journal of biological chemistry,1485
690,journal of geophysical research,journal of geophysical research,1485
691,animal behaviour,behavioral ecology and sociobiology,1484
692,current biology,peerj,1484
693,journal of immunology,journal of immunology,1483
694,journal of human evolution,nature communications,1483
695,paleontological journal,pnas,1481
696,comptes rendus palevol,plos one,1480
